Date,Open,High,Low,Close,Adj Close,Volume
2022-05-05,120.204002,121.039001,115.005501,116.505501,116.505501,45840000
2022-05-06,115.184502,117.571503,114.015503,115.746498,115.746498,39710000
2022-05-09,113.250000,115.077003,112.000504,112.511002,112.511002,40802000
2022-05-10,115.507500,116.250000,112.900497,114.394997,114.394997,39900000
2022-05-11,113.236504,116.364502,113.236504,113.602501,113.602501,37534000
2022-05-12,111.377502,114.294998,109.824501,112.844002,112.844002,53836000
2022-05-13,114.532997,117.875000,113.605003,116.050499,116.050499,35038000
2022-05-16,114.955498,116.169998,113.889503,114.445000,114.445000,25990000
2022-05-17,116.840500,116.900002,114.870003,116.473000,116.473000,23054000
2022-05-18,115.000000,115.400002,111.555496,111.899498,111.899498,35126000
2022-05-19,111.431503,113.010002,110.000000,110.384003,110.384003,34144000
2022-05-20,111.950996,112.183502,105.796501,108.907997,108.907997,48962000
2022-05-23,109.587502,112.147499,108.740997,111.487999,111.487999,37184000
2022-05-24,105.772003,106.458504,101.884499,105.970001,105.970001,76780000
2022-05-25,104.985497,106.500000,103.856499,105.805000,105.805000,40258000
2022-05-26,105.677002,108.649498,105.224998,107.792503,107.792503,37948000
2022-05-27,109.483002,112.318001,109.138496,112.316498,112.316498,37914000
2022-05-31,112.746498,115.735001,112.078499,113.762001,113.762001,50012000
2022-06-01,114.855003,117.101501,113.250000,113.891998,113.891998,36606000
2022-06-02,114.000000,117.899498,112.946503,117.622498,117.622498,37992000
2022-06-03,116.062500,116.321503,113.518501,114.541000,114.541000,26136000
2022-06-06,116.704498,119.347000,116.164001,116.820503,116.820503,33542000
2022-06-07,115.480499,117.691002,115.052002,117.149498,117.149498,31590000
2022-06-08,116.761497,118.570503,116.599998,117.194000,117.194000,26108000
2022-06-09,116.327499,118.299004,114.776001,114.835503,114.835503,25798000
2022-06-10,112.445000,113.278999,110.365997,111.161499,111.161499,41452000
2022-06-13,106.786499,108.791496,106.119003,106.392502,106.392502,47252000
2022-06-14,106.535004,107.924500,105.800003,106.715500,106.715500,33706000
2022-06-15,108.544998,111.423500,107.669502,109.764503,109.764503,39698000
2022-06-16,107.221001,108.648499,105.138000,106.033501,106.033501,51684000
2022-06-17,106.033501,108.699501,105.045998,107.143501,107.143501,51376000
2022-06-21,108.929497,112.489502,108.599998,111.543999,111.543999,47416000
2022-06-22,110.556503,113.346497,110.382500,111.487503,111.487503,30774000
2022-06-23,112.231499,112.742500,110.500504,112.241997,112.241997,28362000
2022-06-24,112.995003,118.079002,112.952499,117.974998,117.974998,41164000
2022-06-27,118.273003,118.579498,115.179497,115.833504,115.833504,36420000
2022-06-28,115.802498,117.309502,111.848000,112.007500,112.007500,35792000
2022-06-29,111.552002,113.160500,110.872498,111.701500,111.701500,24716000
2022-06-30,110.000000,110.888000,106.750000,108.962997,108.962997,43170000
2022-07-01,107.932999,109.250000,106.730499,108.737503,108.737503,35476000
2022-07-05,107.100502,113.376999,105.731499,113.263000,113.263000,39342000
2022-07-06,113.302002,115.589500,111.475998,114.571999,114.571999,37432000
2022-07-07,115.080002,119.189499,114.833504,118.782997,118.782997,40936000
2022-07-08,117.250000,119.684998,116.901497,119.353500,119.353500,38238000
2022-07-11,117.998001,117.998001,115.330498,115.676498,115.676498,31196000
2022-07-12,116.214996,116.973999,113.690002,114.020500,114.020500,29960000
2022-07-13,111.700996,114.195999,111.201500,111.353500,111.353500,43722000
2022-07-14,110.210503,111.093002,108.373001,110.367500,110.367500,37004000
2022-07-15,112.000504,113.140503,110.900002,111.777496,111.777496,46770000
2022-07-18,112.639999,113.680000,108.370003,109.029999,109.029999,43164600
2022-07-19,110.849998,114.019997,109.559998,113.809998,113.809998,36530900
2022-07-20,113.169998,115.400002,112.480003,113.900002,113.900002,35600400
2022-07-21,114.279999,114.550003,111.110001,114.339996,114.339996,32676200
2022-07-22,111.000000,112.339996,106.500000,107.900002,107.900002,48901200
2022-07-25,108.410004,109.870003,106.300003,107.510002,107.510002,34690900
2022-07-26,106.599998,107.199997,104.070000,105.019997,105.019997,47991000
2022-07-27,109.260002,113.910004,108.010002,113.059998,113.059998,59858500
2022-07-28,112.370003,114.339996,111.459999,114.220001,114.220001,32816600
