Date,Open,High,Low,Close,Adj Close,Volume
2022-05-05,60.580002,61.243000,58.259998,59.389999,57.928448,11266500
2022-05-06,58.110001,58.709999,55.450001,55.610001,54.241474,15135900
2022-05-09,53.700001,54.000000,50.119999,51.040001,49.783939,22233000
2022-05-10,53.695000,53.849998,50.180000,51.650002,50.378925,18345800
2022-05-11,52.320000,53.290001,49.549999,49.830002,48.603718,13276900
2022-05-12,48.830002,49.830002,46.830002,48.669998,47.472260,13177900
2022-05-13,49.959999,52.349998,49.709999,51.549999,50.281384,11579300
2022-05-16,51.689999,52.750000,51.150002,51.529999,50.261879,9181100
2022-05-17,55.660000,56.400002,49.700001,53.669998,52.349213,38056200
2022-05-18,52.430000,53.259998,50.639999,51.200001,49.939999,13836900
2022-05-19,51.090000,53.636002,51.009998,52.779999,52.779999,13828400
2022-05-20,54.250000,54.900002,50.990002,52.169998,52.169998,12289400
2022-05-23,53.840000,54.009998,52.400002,53.330002,53.330002,11441200
2022-05-24,51.060001,51.130001,48.930000,49.580002,49.580002,11263800
2022-05-25,50.220001,50.650002,49.020000,50.189999,50.189999,8486600
2022-05-26,50.770000,53.590000,50.307999,52.720001,52.720001,14157100
2022-05-27,53.459999,53.700001,51.610001,53.680000,53.680000,10263600
2022-05-31,56.869999,57.720001,55.759998,56.119999,56.119999,20893000
2022-06-01,56.830002,57.250000,54.639999,55.790001,55.790001,12724900
2022-06-02,56.020000,58.560001,55.630001,58.000000,58.000000,11544000
2022-06-03,57.130001,57.209999,55.939999,56.520000,56.520000,8358300
2022-06-06,59.889999,61.290001,59.110001,60.209999,60.209999,18820100
2022-06-07,60.224998,61.990002,59.810001,61.740002,61.740002,12851700
2022-06-08,63.974998,67.300003,63.349998,66.470001,66.470001,22812000
2022-06-09,62.000000,62.750000,60.830002,61.400002,61.400002,19049300
2022-06-10,62.900002,64.769997,61.327000,61.509998,61.509998,11806600
2022-06-13,59.900002,60.540001,57.599998,58.930000,58.930000,12244100
2022-06-14,61.380001,63.520000,60.580002,62.509998,62.509998,12539500
2022-06-15,63.660000,64.529999,62.230000,64.320000,64.320000,13971000
2022-06-16,61.660000,63.020000,60.790001,62.009998,62.009998,9632000
2022-06-17,67.309998,67.389999,63.810001,65.230003,65.230003,28556600
2022-06-21,64.589996,65.040001,61.820000,63.650002,63.650002,18598500
2022-06-22,60.980000,62.669998,60.650002,61.419998,61.419998,12079600
2022-06-23,62.470001,64.029999,60.764999,61.900002,61.900002,17658500
2022-06-24,63.090000,64.839996,62.599998,64.010002,64.010002,11412600
2022-06-27,67.160004,68.290001,64.919998,65.620003,65.620003,15168000
2022-06-28,65.699997,66.680000,63.869999,64.540001,64.540001,8473500
2022-06-29,63.720001,64.910004,63.250000,64.849998,64.849998,6445900
2022-06-30,63.889999,64.629997,62.910000,64.220001,64.220001,5557400
2022-07-01,63.910000,66.360001,63.680000,65.949997,65.949997,5462200
2022-07-05,65.330002,65.330002,62.320000,64.730003,64.730003,10596500
2022-07-06,63.220001,63.619999,60.770000,61.759998,61.759998,8607600
2022-07-07,62.869999,64.114998,62.610001,63.130001,63.130001,7912700
2022-07-08,61.959999,62.750000,61.049999,62.009998,62.009998,6004100
2022-07-11,59.400002,59.849998,58.560001,59.590000,59.590000,8078700
2022-07-12,58.830002,61.060001,58.770000,60.160000,60.160000,5807900
2022-07-13,59.779999,62.910000,59.759998,61.700001,61.700001,5967500
2022-07-14,61.450001,61.900002,60.270000,61.040001,61.040001,6276800
2022-07-15,60.380001,60.630001,58.584999,60.259998,60.259998,5875800
2022-07-18,62.959999,64.730003,61.840000,62.049999,62.049999,6015000
2022-07-19,62.959999,63.200001,61.570000,62.779999,62.779999,4215200
2022-07-20,63.150002,63.799999,62.049999,62.619999,62.619999,4784800
2022-07-21,63.230000,64.400002,63.040001,64.010002,64.010002,3850700
2022-07-22,63.349998,63.439999,61.450001,61.580002,61.580002,4241200
2022-07-25,63.070000,63.650002,62.060001,62.980000,62.980000,4522100
2022-07-26,63.380001,64.660004,62.630001,62.970001,62.970001,4336300
2022-07-27,63.950001,63.950001,61.599998,63.320000,63.320000,4987800
2022-07-28,62.119999,63.000000,60.200001,62.130001,62.130001,6070200
2022-07-29,59.000000,60.084999,58.369999,59.500000,59.500000,7464400
2022-08-01,57.580002,58.830002,56.349998,58.759998,58.759998,7032600
2022-08-02,57.009998,60.639999,56.860001,59.730000,59.730000,6395400
2022-08-03,59.470001,61.220001,59.000000,61.130001,61.130001,4812200
2022-08-04,64.349998,64.949997,62.919998,63.349998,63.349998,7232900
2022-08-05,61.480000,62.340000,61.200001,61.910000,61.910000,4763300
2022-08-08,61.590000,61.740002,58.459999,58.840000,58.840000,8208300
2022-08-09,58.639999,59.110001,56.700001,57.080002,57.080002,8594800
2022-08-10,56.360001,56.950001,54.349998,55.500000,55.500000,13971900
2022-08-11,56.490002,58.485001,56.259998,56.939999,56.939999,9374500
2022-08-12,54.520000,57.330002,54.520000,57.049999,57.049999,6238900
2022-08-15,56.580002,58.279999,56.435001,57.980000,57.980000,5223200
2022-08-16,56.820000,57.849998,56.459999,57.290001,57.290001,4834400
2022-08-17,57.000000,57.349998,55.799999,56.150002,56.150002,4903300
2022-08-18,55.619999,55.880001,54.384998,55.189999,55.189999,5552800
2022-08-19,55.099998,55.880001,54.580002,54.700001,54.700001,4714400
2022-08-22,55.360001,56.150002,54.970001,55.320000,55.320000,8342900
2022-08-23,55.799999,57.779999,53.049999,57.200001,57.200001,13407000
2022-08-24,56.645000,61.645000,56.220001,59.439999,59.439999,12443400
2022-08-25,62.009998,66.419998,61.930000,64.910004,64.910004,19917600
2022-08-26,67.690002,67.870003,63.410000,63.459999,63.459999,14638300
2022-08-29,63.570000,64.739998,62.185001,62.320000,62.320000,7340400
2022-08-30,62.419998,62.849998,60.610001,61.509998,61.509998,7001400
2022-08-31,63.000000,64.620003,62.529999,63.490002,63.490002,6955200
2022-09-01,61.750000,63.200001,61.330002,63.110001,63.110001,4268200
2022-09-02,62.009998,62.130001,60.889999,61.290001,61.290001,4544200
2022-09-06,59.610001,60.119999,59.000000,59.349998,59.349998,4376800
2022-09-07,58.950001,60.049999,58.020000,59.880001,59.880001,4845900
2022-09-08,59.299999,60.360001,59.220001,59.910000,59.910000,2941700
2022-09-09,61.470001,61.880001,60.200001,60.410000,60.410000,5020900
2022-09-12,60.990002,61.830002,60.119999,61.790001,61.790001,5340500
2022-09-13,58.330002,59.259998,57.279999,57.430000,57.430000,7339400
2022-09-14,57.410000,57.669998,56.250000,57.400002,57.400002,5076400
2022-09-15,57.505001,58.150002,57.000000,57.650002,57.650002,5181100
2022-09-16,56.509998,56.904999,55.090000,55.369999,55.369999,7378900
2022-09-19,55.419998,56.820000,55.250000,56.820000,56.820000,6204700
2022-09-20,56.615002,57.939999,56.520000,56.799999,56.799999,4296800
2022-09-21,55.860001,55.959999,53.840000,53.930000,53.930000,6177800
2022-09-22,54.189999,54.750000,52.990002,53.470001,53.470001,4552300
2022-09-23,52.369999,53.049999,51.830002,52.310001,52.310001,5627600
2022-09-26,53.230000,54.680000,53.099998,53.340000,53.340000,6258200
2022-09-27,54.025002,55.060001,52.169998,52.660000,52.660000,6126500
2022-09-28,51.320000,53.250000,50.549999,52.930000,52.930000,5989100
2022-09-29,51.380001,52.090000,50.090000,51.250000,51.250000,6141700
2022-09-30,50.270000,51.355000,49.810001,50.299999,50.299999,6553600
2022-10-03,49.380001,49.595001,48.090000,49.520000,49.520000,9728000
2022-10-04,50.669998,52.990002,50.419998,52.040001,52.040001,8173600
2022-10-05,53.680000,54.380001,52.410000,52.980000,52.980000,9187100
2022-10-06,52.549999,53.070000,51.639999,51.660000,51.660000,6967200
2022-10-07,50.400002,50.959999,49.200001,49.910000,49.910000,8249200
2022-10-10,48.980000,49.060001,46.720001,47.580002,47.580002,8791300
2022-10-11,46.507999,47.404999,45.310001,46.270000,46.270000,8667900
2022-10-12,46.340000,47.230000,45.605000,46.400002,46.400002,5145100
2022-10-13,44.060001,45.790001,43.529999,45.049999,45.049999,8880500
2022-10-14,45.264999,45.270000,42.209999,42.330002,42.330002,12859900
